Name,Type of Sell,Category,MRP,Best Price,Manufacturer
Navishield UV Cream SPF 50+,tube of 50 ml Cream,"Summer Essentials , Sunscreen Products , Skin Care",700,700,Sedge Bioceuticals Inc India
Navitus Cream,jar of 50 gm Cream,Skin Care,700,700,Sedge Bioceuticals Inc India
Navitus Hair Regrowth Serum,bottle of 60 ml Serum,Hair Care,1200,1200,Sedge Bioceuticals Inc India
Navitus Moisturising Lotion,tube of 100 ml Lotion,Skin Care,295,295,Sedge Bioceuticals Inc India
Navitus Ultra Advance Moisturizing Lotion,bottle of 100 gm Lotion,Skin Care,1100,1100,Sedulus Remedies
Navjeewan Being Slim Capsule,bottle of 60 capsules,Weight Management,600,570,Sri Navjeewan Rasayanshala
Navjeewan Brahma Rasayan Powder,jar of 500 gm Powder,"Herbs , Ayurveda",330,320,Sri Navjeewan Rasayanshala
Navjeewan Calci-Nav Tablet,bottle of 30 tablets,"Bone, Joint & Muscle Care",450,427,Sri Navjeewan Rasayanshala
Navjeewan Chyavanprash (Asvarg-Yukta),jar of 1 kg Paste,"Immunity Boosters , Chaywanprash , Chyawanprasha",450,420,Sri Navjeewan Rasayanshala
Navjeewan Chyavanprash (Asvarg-Yukta),jar of 500 gm Paste,"Immunity Boosters , Chaywanprash , Chyawanprasha",250,235,Sri Navjeewan Rasayanshala
Navjeewan Fe-Vita-C Tablet,bottle of 30 tablets,"Vitamin C , Vitamin and Supplements , Immunity Boosters",135,127,Sri Navjeewan Rasayanshala
Navjeewan Kaunchpaka Granules,jar of 200 gm Granules,"Sexual Health Supplements , Sexual Wellness , Men Care",220,209,Sri Navjeewan Rasayanshala
Navjeewan Kumkumadi Tailam,bottle of 15 ml Oil,Ayurveda,230,230,Sri Navjeewan Rasayanshala
Navjeewan Maha Vishgarbh Tailam,bottle of 100 ml Oil,Pain Relief,280,272,Sri Navjeewan Rasayanshala
Navjeewan Maha-Bhringraj Tail,bottle of 200 ml Oil,"Natural Hair & Skin Care , Hair Oils",250,242,Sri Navjeewan Rasayanshala
Navjeewan Scyati-Nav Tablet,bottle of 30 tablets,"Bone, Joint & Muscle Care",150,145,Sri Navjeewan Rasayanshala
Navjeewan Shiva Gutika,bottle of 50 gm Tablet,Immunity Boosters,800,712,Sri Navjeewan Rasayanshala
Navjeewan Shwas-No Gold Capsule,bottle of 30 capsules,Respiratory Care,1500,1425,Sri Navjeewan Rasayanshala
Navjeewan Snayu-Heal Tablet,bottle of 30 tablets,"Bone, Joint & Muscle Care",999,950,Sri Navjeewan Rasayanshala
Navjeewan Vedna-Har Tablet,bottle of 30 tablets,Ayurveda,180,175,Sri Jain Ayurvedic Pharmacy
Navjeewan Vr. Manjisthadi Choorna,bottle of 100 gm Churna,"Speciality Supplements , Stomach Care",140,133,Sri Navjeewan Rasayanshala
Navkar Copper Tongue Cleaner,packet of 1 Tongue Cleaner,Oral Care,299,207,Suchi Industries Limited
Navkar Steel Tongue Cleaner,packet of 1 Tongue Cleaner,Oral Care,249,197,Suchi Industries Limited
Navkar Steel Tongue Cleaner,packet of 2 Tongue Cleaners,Oral Care,399,298,Suchi Industries Limited
Navosal Advanced Medicated Cleansing Bar,packet of 100 gm Soap,"Acne Care , Bath Essentials",151,143,Prism Life Sciences Ltd
Navratna Ayurvedic Cool Hair Oil,bottle of 100 ml Oil,"Hair Oils , Ayurveda Top Brands , Natural Hair & Skin Care",80,78.4,Emami Ltd
Navratna Cool Ayurvedic Oil,bottle of 200 ml Oil,"Hair Oils , Natural Hair & Skin Care , Ayurveda Top Brands",145,123,Emami Ltd
Navratna Cool Ayurvedic Oil,bottle of 300 ml Oil,"Hair Care , Natural Hair & Skin Care , Ayurveda Top Brands , Ayurveda , Hair Oils",198,168,Emami Ltd
Navratna Cool Ayurvedic Oil,bottle of 500 ml Oil,"Summer Essentials , Natural Hair & Skin Care , Ayurveda Top Brands , Hair Oils",330,281,Emami Ltd
Navratna Gold Ayurvedic Cool Oil,bottle of 200 ml Oil,"Hair Oils , Hair Care , Pain Relief , Ayurveda , Mental Wellness , Natural Hair & Skin Care",180,131,Emami Ltd
Navratna Gold Ayurvedic Cool Oil,bottle of 300 ml Oil,"Hair Care , Mental Wellness , Natural Hair & Skin Care , Hair Oils , Ayurveda , Pain Relief",250,212,Emami Ltd
Navratna Gold Ayurvedic Oil Cool,bottle of 500 ml Oil,"Pain Relief , Mental Wellness",400,328,Dr Willmar Schwabe India Pvt Ltd
Navyug Hair Oil,bottle of 100 ml Oil,"Natural Hair & Skin Care , Hair Oils",150,150,
Nax Face Wash,tube of 75 ml Face Wash,"Acne Care , Face Wash , Summer Essentials",130,117,Galcare Pharmaceutical Pvt Ltd
Naxolact Syrup,bottle of 100 ml Syrup,Fitness and Supplements,105,89,Numed
Naxy Nasal Drops,bottle of 10 ml Nasal Drops,Cold & Cough,49,45,Chem + Med Pharmaceuticals
Nazalin A Decongestant Drops,bottle of 10 ml Nasal Drops,Cold & Cough,51.85,46,Bell Pharma Pvt Ltd
Nazalin P Nasal Decongestant Drops,bottle of 10 ml Nasal Drops,Cold & Cough,24.85,22,Bell Pharma Pvt Ltd
Nazoden Nasal Drops,bottle of 10 ml Nasal Drops,Cold & Cough,37,33,Laborate Pharmaceuticals India Ltd
Nazolin Nasal Drops,bottle of 10 ml Nasal Drops,Cold & Cough,35.5,31,Santiago Lifesciences Pvt Ltd
Nazome Baby 0.025% Nasal Drops,bottle of 10 ml Nasal Drops,"Baby Healthcare , Cold & Cough , Baby Care",65,55,Clyde Pharmaceuticals Pvt Ltd
Nazome Paediatric 0.05% Nasal Drops,bottle of 10 ml Nasal Drops,Cold & Cough,81.49,76,Clyde Pharmaceuticals Pvt Ltd
Nazone Nasal Spray,packet of 100 ml Nasal Spray,Cold & Cough,230,230,Zydus Cadila
Nazone Saline Nasal Drops,packet of 10 ml Nasal Drops,Cold & Cough,43,41,
Ncal Tablet,strip of 15 tablets,"Bone, Joint & Muscle Care",39.12,34,Abbott
Ncfer Syrup,bottle of 200 ml Syrup,Vitamin and Supplements,139,122,Santis Pharmaceuticals Private Limited
Ncfer Tablet,strip of 10 tablets,"Vitamin and Supplements , Vitamins A-Z",99,87,Santis Pharmaceuticals Private Limited
Ncviz-Q 10 Capsule,strip of 10 capsules,Vitamin and Supplements,700,595,Cellgen Biopharma
Neasta Capsule,strip of 10 capsules,Vitamin and Supplements,169,144,Organic Laboratories
Neasta Syrup,bottle of 200 ml Syrup,"Vitamin and Supplements , Ayurveda",66.12,66.12,Organix Herbolic
Nebair Portable Mesh Nebulizer,box of 1 Unit,Nebulisers and Vapourisers,4950,4703,Zydus Cadila
Nebuflo Portable Mesh Nebulizer,box of 1 Unit,Nebulisers and Vapourisers,4000,4000,Cipla Ltd
Nebula NO 113 Cervical Regular U Foam Pillow,box of 1 Pillow,"Bone, Joint & Muscle Care , Supports & Braces",750,735,Nebula Orthosys
Nebula NR 102 L S Support (Fiber Plate) Medium Grey,box of 1 Belt,Supports & Braces,750,735,Nebula Orthosys
Nebula NR 141 Soft Cervical Collar Large Cream,box of 1 Unit,"Supports & Braces , Bone, Joint & Muscle Care",325,325,Nebula Orthosys
Nebula NR 154 Elastic Thumb Wrist Brace Universal Black,box of 1 Unit,"Supports & Braces , Bone, Joint & Muscle Care",175,175,Nebula Orthosys
Nebula NR 155 Elastic Wrist Brace D.L. XL Black,box of 1 Unit,"Bone, Joint & Muscle Care , Supports & Braces",175,166.25,Nebula Orthosys
Nebula NR 156 Elastic Wrist Brace S.L. Universal Black,box of 1 Unit,"Ayurveda , Supports & Braces",200,200,Nebula Orthosys
Nebula NR 157 Tennies Elbow Brace with Pad Universal Black,box of 1 Unit,Supports & Braces,275,275,Nebula Orthosys
Nebula NR 159 Elastic 4 Way Tennis Elbow Cap 9 inch Extra Large Cream,box of 1 Unit,Supports & Braces,175,175,Nebula Orthosys
Nebula NR 161 Premium Thumb Wrist Support Universal Black,box of 1 Unit,Supports & Braces,275,266.75,Nebula Orthosys
Nebula NR 172 Elastic Knee Support 12 inch XL Black,box of 1 Unit,Supports & Braces,325,325,Nebula Orthosys
Nebula NR 181 Prem. P.O. Hinged Knee Brace 12 inch XXL Black,box of 1 Unit,Supports & Braces,1200,1176,Nebula Orthosys
Nebula NR 182 Elastic 4 Way Calf Support Medium Cream,box of 1 Unit,Supports & Braces,225,216,Nebula Orthosys
Nebula NR 201 Elastic Ankle Support 12 inch Medium Cream,box of 1 Unit,Supports & Braces,325,325,Nebula Orthosys
Nebula NR 202 Elastic Ankle Binder (Fig.8) Large Black,box of 1 Unit,Supports & Braces,225,216,Nebula Orthosys
Nebula NR 206 Elastic Ankle Support 4 Way 12 inch Medium Cream,box of 1 Unit,Supports & Braces,375,368,Nec Pharmaceuticals
Nebula NR 265 Abdominal Binder 9 inch Universal Black,box of 1 Belt,Supports & Braces,525,515,Nebula Orthosys
Neclife Foot Smooth Antiseptic Cream,tube of 25 gm Cream,Natural Hair & Skin Care,62.7,62.7,Nectar Biopharma Pvt Limited
Neclife Getnews Plus Pregnancy Test,packet of 1 Test Kit,"Women Care , Sexual Wellness",70,70,Nectar Biopharma Pvt Limited
Neclife Glucosure Plus Glucometer,packet of 1 Unit,"Devices , Blood Glucose Monitors , Diabetes",2400,2158,Nectar Remedies Ltd
Neclife Miss Wash Intimate Hygiene Cleanser,bottle of 100 ml Vaginal Wash,"Women Care , Feminine Hygiene",182.05,182.05,Nectar Biopharma Pvt Limited
Neclife Powertin DF Powder Chocolate Cardamom,Tin of 200 gm Powder,Nutritional Drinks,505,480,Nectar Biopharma Pvt Limited
Neclife Powertin Protein Powder,Tin of 200 gm Powder,Nutritional Drinks,380,354,Nectar Biopharma Pvt Limited
Neclife's Ors Powder,packet of 21.8 gm Powder,"Health Food and Drinks , Summer Essentials",18.99,17,Nectar Remedies Ltd
Necrid Ointment,tube of 15 gm Ointment,Ayurveda,102.36,102.36,Lupin Ltd
Nectar Acne Shine Medicated Soap,box of 75 gm Soap,"Acne Care , Bath Essentials",90.2,90.2,Nectar BioPharma Pvt Ltd
Nectar Orthoactive Oil,bottle of 120 ml Oil,"Bone, Joint & Muscle Care",295,295,Nectar BioPharma Pvt Ltd
Nectar Stevia Powder,bottle of 50 gm Powder,"Sugar Substitutes , Diabetes",140,140,Quaint Labs Food Products
Nectar Stevia Powder,packet of 50 gm Powder,"Diabetes , Sugar Substitutes , Diabetic Medicine",180,180,Quaint Labs Food Products
Nectar Valley Amla Powder,jar of 250 gm Powder,"Immunity Boosters , Hair Growth Supplements , Speciality Supplements , Ayurveda , Herbs",275,267,Bionova Lifesciences
